,municipality,province,latitude,longitude,surface_km2,population,avg_household_income_2012,avg_woz_2014,university
316,Texel,Noord-Holland,53.054.763,4.797.715,463.16,13566.0,32400.0,258000.0,0
317,Loppersum,Groningen,53.332.175,6.747.987,111.99,10181.0,32400.0,153000.0,0
318,Alkmaar,Noord-Holland,52.632.842,4.755.037,31.2,94906.0,32300.0,181000.0,0
319,Assen,Drenthe,52.992.753,6.564.228,83.45,67209.0,32200.0,162000.0,0
320,Hengelo,Overijssel,52.257.412,6.792.772,61.83,80975.0,32200.0,168000.0,0
321,Zutphen,Gelderland,52.142.736,6.196.058,42.93,47154.0,32100.0,185000.0,0
322,Delft,Zuid-Holland,52.011.577,4.357.068,24.06,101493.0,32100.0,181000.0,1
323,Doesburg,Gelderland,52.014.288,6.139.782,12.96,11449.0,32100.0,190000.0,0
324,Winterswijk,Gelderland,51.971.314,6.720.509,138.81,28873.0,32000.0,180000.0,0
325,Eindhoven,Noord-Brabant,51.441.642,5.469.722,88.87,220782.0,32000.0,209000.0,1
326,Weststellingwerf,Friesland,52.871.892,6.022.919,228.45,25487.0,32000.0,182000.0,0
327,'s-Gravenhage,Zuid-Holland,52.070.498,4.300.700,98.12,508592.0,31800.0,188000.0,0
328,Sittard-Geleen,Limburg,51.003.168,5.823.671,80.53,93806.0,31800.0,157000.0,0
329,Ferwerderadiel,Friesland,53.337.834,5.823.835,133.18,8771.0,31800.0,148000.0,0
330,Vlaardingen,Zuid-Holland,51.912.067,4.349.437,26.69,71059.0,31700.0,164000.0,0
331,Tilburg,Noord-Brabant,51.560.596,5.091.914,119.18,210382.0,31600.0,187000.0,1
332,Dantumadiel,Friesland,53.272.981,5.985.930,87.53,19035.0,31500.0,168000.0,0
333,Roermond,Limburg,51.191.320,5.987.772,71.1,57030.0,31500.0,174000.0,0
334,Landgraaf,Limburg,50.892.765,6.022.408,24.66,37530.0,31400.0,150000.0,0
335,Ooststellingwerf,Friesland,52.988.319,6.270.427,226.11,25672.0,31400.0,180000.0,0
336,Amsterdam,Noord-Holland,52.370.216,4.895.168,219.3,853312.0,31400.0,231000.0,2
337,Hoogeveen,Drenthe,52.728.616,6.490.100,129.25,54680.0,31200.0,164000.0,0
338,Venlo,Limburg,51.370.375,6.172.403,128.99,100381.0,31200.0,177000.0,0
339,Smallingerland,Friesland,53.127.729,6.079.345,126.17,55496.0,31100.0,168000.0,0
340,Kollumerland en Nieuwkruisland,Friesland,53.305.888,6.189.109,116.35,12856.0,31100.0,167000.0,0
341,Ameland,Friesland,53.440.564,5.658.766,268.5,3565.0,31100.0,201000.0,0
342,Almelo,Overijssel,52.367.027,6.668.492,69.4,72435.0,31000.0,156000.0,0
343,Schiedam,Zuid-Holland,51.916.960,4.398.819,19.86,76487.0,31000.0,142000.0,0
344,Nijmegen,Gelderland,51.812.563,5.837.226,57.6,168499.0,30900.0,191000.0,1
345,Emmen,Drenthe,52.713.237,6.955.777,346.25,108003.0,30700.0,156000.0,0
346,Eemsmond,Groningen,53.400.344,6.648.410,543.35,15910.0,30700.0,154000.0,0
347,Delfzijl,Groningen,53.331.027,6.924.460,227.5,25686.0,30600.0,132000.0,0
348,Vlieland,Friesland,53.250.184,4.951.427,315.8,1097.0,30600.0,243000.0,0
349,Arnhem,Gelderland,51.985.103,5.898.730,101.54,150817.0,30500.0,175000.0,0
350,De Marne,Groningen,53.360.934,6.380.521,240.33,10205.0,30500.0,145000.0,0
351,Veendam,Groningen,53.106.278,6.875.100,78.68,27795.0,30500.0,142000.0,0
352,Achtkarspelen,Friesland,53.210.357,6.153.565,103.98,28002.0,30500.0,165000.0,0
353,Maastricht,Limburg,50.851.368,5.690.973,60.03,122331.0,30400.0,178000.0,1
354,Dongeradeel,Friesland,53.324.884,5.996.639,266.92,24183.0,30400.0,149000.0,0
355,Den Helder,Noord-Holland,52.956.281,4.760.797,178.8,56553.0,30400.0,147000.0,0
356,Vlissingen,Zeeland,51.453.667,3.570.912,344.83,44450.0,30200.0,153000.0,0
357,Harlingen,Friesland,53.174.638,5.425.152,387.67,15810.0,30100.0,153000.0,0
358,Schiermonnikoog,Friesland,53.489.374,6.230.911,199.07,938.0,30000.0,250000.0,0
359,Appingedam,Groningen,53.320.678,6.854.422,24.58,12049.0,29800.0,142000.0,0
360,Enschede,Overijssel,52.221.537,6.893.662,142.72,158542.0,29600.0,155000.0,1
361,Rotterdam,Zuid-Holland,51.924.420,4.477.733,325.79,618467.0,29600.0,148000.0,1
362,Brunssum,Limburg,50.948.896,5.972.166,17.34,28914.0,29400.0,133000.0,0
363,Oldambt,Groningen,53.203.691,7.052.970,295.96,38558.0,29300.0,133000.0,0
364,Stadskanaal,Groningen,52.991.985,6.946.222,119.94,32793.0,29200.0,146000.0,0
365,Vaals,Limburg,50.773.218,6.011.274,23.87,9682.0,29100.0,143000.0,0
366,Leeuwarden,Friesland,53.201.233,5.799.913,166.99,108113.0,28700.0,135000.0,0
367,Groningen,Groningen,53.219.383,6.566.502,83.75,198108.0,28500.0,157000.0,1
368,Kerkrade,Limburg,50.865.946,6.070.549,22.13,46773.0,28500.0,130000.0,0
369,Pekela,Groningen,53.085.241,6.977.881,50.2,12733.0,28400.0,132000.0,0
370,Heerlen,Limburg,50.888.174,5.979.499,45.53,88202.0,28200.0,123000.0,0
371,Berg en Dal,Gelderland,51.818.121,5.920.082,44.14,18956.0,,,0
372,De Fryske Marren,Friesland,52.948.003,5.791.388,559.93,51223.0,,,0
373,Gooise Meren,Noord-Holland,52.304.762,5.139.699,73.5,56687.0,,,0
374,Krimpenerwaard,Zuid-Holland,51.982.222,4.781.667,161.3,54287.0,,,0
375,Meierijstad,Noord-Brabant,51.613.704,5.548.213,185.52,,,,0
376,Midden-Groningen,Groningen,53.214.825,6.503.424,,,,,0
377,Nissewaard,Zuid-Holland,51.848.034,4.328.748,98.74,85083.0,,,0
378,Waadhoeke,Friesland,53.184.738,5.531.866,,,,,0
379,Westerwolde,Groningen,53.027.025,7.110.788,280.63,,,,0
